MHTERM,Lowest_Level_Term,Preferred_Term,High_Level_Term,High_Level_Group_Term,Body_System_Or_Organ_Class,AESOC
Hypertension arterial,Hypertension arterial,Hypertension,Vascular hypertensive disorders NEC,Vascular hypertensive disorders,Vascular disorders,Vascular disorders
Hypertonia,Hypertonicity,Hypertonia,Muscle tone abnormalities,Muscle disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Hyperuricaemia,Hyperuricemia,Hyperuricaemia,Disorders of purine metabolism,Purine and pyrimidine metabolism disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hypoacusis,Hearing reduced,Hypoacusis,Hearing losses,Hearing disorders,Ear and labyrinth disorders,Ear and labyrinth disorders
Hypochromic anemia,Hypochromic anemia,Hypochromic anaemia,Anaemias NEC,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Hypokalemia,Hypokalemia,Hypokalaemia,Potassium imbalance,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hyponatraemia,Hyponatremia,Hyponatraemia,Sodium imbalance,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hypothyroidism,Unspecified hypothyroidism,Hypothyroidism,Thyroid hypofunction disorders,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Hysterectomy,Hysterectomy NOS,Hysterectomy,Uterine therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hysterosalpingo-oophorectomy,Total abdominal hysterectomy with bilateral salpingo-oophorectomy,Hysterosalpingo-oophorectomy,Obstetric and gynaecological therapeutic procedures,,Surgical and medical procedures,Surgical and medical procedures
Icterus,Icterus,Jaundice,Haemolyses NEC,Haemolyses and related conditions,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Idiopathic urticaria,Urticaria idiopathic,Idiopathic urticaria,Urticarias,Allergic conditions,Immune system disorders,Immune system disorders
Ileostomy,Ileostomy NOS,Ileostomy,Small intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Iliac artery aneurysm,Iliac artery aneurysm,Peripheral artery aneurysm,Peripheral aneurysms and dissections,Aneurysms and artery dissections,Vascular disorders,Vascular disorders
Inappetence,Inappetence,Decreased appetite,Appetite disorders,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Inappropriate ADH secretion,Inappropriate ADH secretion,Inappropriate antidiuretic hormone secretion,Posterior pituitary disorders,Hypothalamus and pituitary gland disorders,Endocrine disorders,Endocrine disorders
Incision site infection,Incision site infection,Postoperative wound infection,Infections NEC,Infections - pathogen unspecified,Infections and infestations,Infections and infestations
Incisional hernia repair,Incisional herniorrhaphy,Incisional hernia repair,Hernia repairs,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Indigestion,Indigestion,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Inguinal hernia,Inguinal hernia NOS,Inguinal hernia,Inguinal hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders,Gastrointestinal disorders
Inguinal hernia repair,Inguinal herniorrhaphy,Inguinal hernia repair,Hernia repairs,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Insomnia,Insomnia NOS,Insomnia,Disturbances in initiating and maintaining sleep,Sleep disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Intervertebral disc degenerati,Intervertebral disc degeneration NOS,Intervertebral disc disorder,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Intervertebral disc herniation,Intervertebral disc herniation,Intervertebral disc protrusion,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Intervertebral disc operation,Surgery herniated nucleus pulposus,Intervertebral disc operation,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Intestinal movement disorder,Intestinal movement disorder,Gastrointestinal motility disorder,Gastrointestinal dyskinetic disorders,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Iodine allergy,Iodine allergy,Iodine allergy,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immune system disorders
Irritable bowel syndrome,Irritable colon syndrome,Irritable bowel syndrome,Gastrointestinal spastic and hypermotility disorders,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Ischaemia coronary artery origin,Ischaemia coronary artery origin,Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Ischaemic heart disease,Ischaemic heart disease,Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Ischemic heart disease,Ischemic heart disease,Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Jaundice,Jaundice NOS,Jaundice,Haemolyses NEC,Haemolyses and related conditions,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Joint pain,Joint pain,Arthralgia,Joint related signs and symptoms,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Keratotomy,Keratotomy,Keratotomy,Corneal and scleral therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Kidney malformation,Congenital renal anomaly NOS,Kidney malformation,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders","Congenital, familial and genetic disorders"
Kidney stone,Kidney stone,Nephrolithiasis,Renal lithiasis,Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Kidney stones,Kidney stones,Nephrolithiasis,Renal lithiasis,Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Knee injury,Knee injury,Joint injury,Joint related disorders NEC,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Knee ligament repair,Knee ligament repair,Ligament operation,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Knee operation,Knee surgery NOS,Knee operation,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Knee prosthesis insertion,Knee prosthesis insertion,Knee arthroplasty,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Laceration of arm,Laceration of arm,Laceration,Skin injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Lactose intolerance,Lactose intolerant,Lactose intolerance,Sugar intolerance (excl glucose intolerance),Food intolerance syndromes,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Laparotomy,Staging laparotomy,Laparotomy,Abdominal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Left bundle branch block,Left bundle branch block,Bundle branch block left,Cardiac conduction disorders,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Leg fracture,Leg fracture,Lower limb fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Leiomyoma,Leiomyoma NOS,Leiomyoma,Musculoskeletal and connective tissue neoplasms NEC,Musculoskeletal and connective tissue neoplasms,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Leiomyosarcoma,Leiomyosarcoma NOS,Leiomyosarcoma,Leiomyosarcomas,Soft tissue neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Lens implant,Lens implant,Intraocular lens implant,Lens therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Leukocytosis,Leucocytosis NOS,Leukocytosis,Acute febrile neutrophilic dermatosis,White blood cell disorders,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Lipoma excision,Lipoma buttock excision,Lipoma excision,Soft tissue therapeutic procedures NEC,Soft tissue therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Liver biopsy,Liver biopsy,Biopsy liver,Hepatobiliary histopathology procedures,Hepatobiliary investigations,Investigations,Investigations
Loss of weight,Loss of weight,Weight decreased,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations,Investigations
Low back pain,Low back pain,Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Lumbar laminectomy,Lumbar laminectomy,Spinal laminectomy,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Lumbar pain,Lumbar pain,Atelectasis,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Lumbar spondylosis,Lumbar spondylosis,Spinal osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Lung fibrosis,Lung fibrosis,Pulmonary fibrosis,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Lung lobectomy,Video-assisted thoracoscopic lung lobectomy,Lung lobectomy,Bronchial and pulmonary therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Lymphedema,Lymphedema,Lymphoedema,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood and lymphatic system disorders,Blood and lymphatic system disorders
Macrocytosis,Macrocytosis (excl anaemia),Macrocytosis,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Major depression,Major depressive disorder NOS,Major depression,Depressive disorders,Depressed mood disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Malignant ascites,Malignant peritoneal effusion,Malignant ascites,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Malignant tumor excision,Malignant tumor excision,Cancer surgery,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Mastectomy,Mastectomy NOS,Mastectomy,Mastectomies,Breast therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Mastopathy,Mastopathy,Breast disorder,Breast disorders NEC,Breast disorders,Reproductive system and breast disorders,Reproductive system and breast disorders
Meniere's disease,"Meniere's disease, unspecified",Meniere's disease,Inner ear disorders NEC,Inner ear and VIIIth cranial nerve disorders,Ear and labyrinth disorders,Ear and labyrinth disorders
Meniscus operation,Meniscus operation,Meniscus operation,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Migraine,Migraine NOS,Migraine,Headaches,Migraine headaches,Nervous system disorders,Nervous system disorders
Migraine headache,Migraine headache,Migraine,Migraine headaches,Headaches,Nervous system disorders,Nervous system disorders
Mitral valve prolapse,Mitral valve prolapse,Mitral leaflet prolapse,Mitral valvular disorders,Cardiac valve disorders,Cardiac disorders,Cardiac disorders
Mitral valve replacement,Mitral valve replacement,Mitral valve replacement,Cardiac therapeutic procedures,Cardiac valve therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Morton's neuroma,Morton's neuroma,Morton's neuralgia,Sensory abnormalities NEC,Neurological disorders NEC,Nervous system disorders,Nervous system disorders
Multiple fractures,Fracture multiple,Multiple fractures,Fractures and dislocations NEC,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Multiple sclerosis,Sclerosis multiple,Multiple sclerosis,Nervous system autoimmune disorders,Autoimmune disorders NEC,Immune system disorders,Immune system disorders
Muscle fatigue,Muscle fatigue,Muscle fatigue,Muscle related signs and symptoms NEC,Muscle disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Musculoskeletal pain,Arthromyalgia,Musculoskeletal pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Myocardial fibrosis,Fibrosis myocardial,Myocardial fibrosis,Myocardial disorders NEC,Myocardial disorders,Cardiac disorders,Cardiac disorders
Myocardial infarction,Infarct myocardial,Myocardial infarction,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Myocardial ischemia,Myocardial ischemia,Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Myocarditis,Myocarditis NOS,Myocarditis,Noninfectious myocarditis,Myocardial disorders,Cardiac disorders,Cardiac disorders
Myotonia congenital,Myotonia congenital,Myotonia congenita,Hereditary muscle disorders,Congenital and peripartum neurological conditions,Nervous system disorders,Nervous system disorders
Nasal operation,Nasal operation NOS,Nasal operation,Nasal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Nasal polyps,Polyps nasal,Nasal polyps,Nasal and paranasal sinus neoplasms benign,Respiratory and mediastinal neoplasms benign (excl mesotheliomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Nausea,Nauseous,Nausea,Nausea and vomiting symptoms,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Neck pain,Pain neck,Neck pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Neck stiffness,Neck stiffness,Musculoskeletal stiffness,Musculoskeletal and connective tissue signs and symptoms NEC,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Needle biopsy NOS,Needle biopsy NOS,Diagnostic aspiration,Histopathology procedures NEC,"Investigations, imaging and histopathology procedures NEC",Investigations,Investigations
Nephrectomy,Radical nephrectomy,Nephrectomy,Renal therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Nephrolithiasis,Kidney stones,Nephrolithiasis,Renal lithiasis,Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Nervousness,Nervous,Nervousness,Anxiety symptoms,Anxiety disorders and symptoms,Psychiatric disorders,Psychiatric disorders
Neuropathy peripheral,Peripheral neuropathy NOS,Neuropathy peripheral,Peripheral neuropathies NEC,Peripheral neuropathies,Nervous system disorders,Nervous system disorders
Night sweats,Nocturnal perspiration,Night sweats,General signs and symptoms NEC,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Nocturia,Nocturnal urinary frequency,Nocturia,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Non-alcoholic steatohepatitis,Non-alcoholic steatohepatitis,Non-alcoholic steatohepatitis,Hepatocellular damage and hepatitis NEC,Cholestasis and jaundice,Hepatobiliary disorders,Hepatobiliary disorders
Nycturia,Nycturia,Nocturia,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Obesity,"Obesity, unspecified",Obesity,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Obstipation,Obstipation,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Obstructive chronic bronchitis,Obstructive chronic bronchitis,Bronchitis chronic,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Obstructive jaundice,Obstructive jaundice,Jaundice cholestatic,Cholestasis and jaundice,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Oesophagitis,Oesophagitis NOS,Oesophagitis,Oesophagitis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Onychomycosis,Nail fungal infection NOS,Onychomycosis,Fungal infections NEC,Fungal infectious disorders,Infections and infestations,Infections and infestations
Oophorectomy,Oophorectomy NOS,Oophorectomy,Ovarian therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Open reduction of fracture with internal fixation,Open reduction of fracture with internal fixation,,Open reduction of fracture,Fracture treatments (excl skull and spine),Bone and joint therapeutic procedures,Surgical and medical procedures
Oral candidiasis,Candidiasis of mouth,Oral candidiasis,Oral soft tissue infections,Oral soft tissue conditions,Gastrointestinal disorders,Gastrointestinal disorders
Orchidopexy,Orchidopexy,Orchiopexy,Testicular and scrotal therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Osteoarthritis,Osteoarthrosis,Osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Osteoarthritis of lumbar spine,Osteoarthritis of lumbar spine,Spinal osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Osteochondrosis,Osteochondral defects,Osteochondrosis,Cartilage disorders,"Tendon, ligament and cartilage disorders",Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Osteopenia,Osteopenia periarticular,Osteopenia,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Osteoporosis,Osteoporosis NOS,Osteoporosis,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Otalgia,Otalgia,Ear pain,Ear disorders NEC,Aural disorders NEC,Ear and labyrinth disorders,Ear and labyrinth disorders
Other disorders of intestine,Other disorders of intestine,Gastrointestinal disorder,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastrointestinal disorders,Gastrointestinal disorders
Ovarian cyst,Ovarian cyst NOS,Ovarian cyst,Ovarian and fallopian tube cysts and neoplasms,Ovarian and fallopian tube disorders,Reproductive system and breast disorders,Reproductive system and breast disorders
Ovarian cystectomy,Ovarian cystectomy,Ovarian cystectomy,Ovarian therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Ovarian prolapse,Ovarian prolapse,Ovarian prolapse,Ovarian and fallopian tube disorders NEC,Ovarian and fallopian tube disorders,Reproductive system and breast disorders,Reproductive system and breast disorders
Ovariectomy,Ovariectomy,Oophorectomy,Ovarian therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
PSA increased,PSA increased,Prostatic specific antigen increased,Cell marker analyses,Cytogenetic investigations,Investigations,Investigations
Pain,Pain NOS,Pain,Pain and discomfort NEC,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Pain in hip,Pain in hip,Arthralgia,Joint related signs and symptoms,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Painful respiration,Inspiratory pain,Painful respiration,Respiratory signs and symptoms NEC,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Palatal operation,Palatal operation,Palatal operation,Palatal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Pancreatitis,Pancreatitis NOS,Pancreatitis,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastrointestinal disorders,Gastrointestinal disorders
Panic attack,Panic attack,Panic attacks,Panic attacks and disorders,Anxiety disorders and symptoms,Psychiatric disorders,Psychiatric disorders
Panic attacks,Panic attacks,Panic attack,Panic attacks and disorders,Anxiety disorders and symptoms,Psychiatric disorders,Psychiatric disorders
Parathyroid adenoma,Parathyroid adenoma,Parathyroid tumour benign,Endocrine neoplasms benign NEC,Endocrine neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Parathyroidectomy,Parathyroid gland excision,Parathyroidectomy,Parathyroid gland therapeutic procedures,Endocrine gland therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Paresthesia foot,Paresthesia foot,Paraesthesia,Paraesthesias and dysaesthesias,Neurological disorders NEC,Nervous system disorders,Nervous system disorders
Paroxysmal supraventricular tachycardia,Paroxysmal supraventricular tachycardia,Supraventricular tachycardia,Supraventricular arrhythmias,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Partial lung lobectomy,Partial lung lobectomy,Pulmonary resection,Bronchial and pulmonary therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Partial mastectomy,Partial mastectomy,Breast conserving surgery,Mastectomies,Breast therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Patellar tendinitis,Patellar tendinitis,Tendonitis,"Muscle, tendon and ligament injuries",Injuries NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Pedal edema,Pedal edema,Oedema peripheral,Total fluid volume increased,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Penicillin allergy,Penicillin allergy,Drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immune system disorders
Peptic ulcer,Ulcer peptic,Peptic ulcer,Peptic ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Peptic ulcer disease,Peptic ulcer disease,Peptic ulcer,Peptic ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Percutaneous transluminal coro,Percutaneous transluminal coronary angioplasty,Coronary angioplasty,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Pericardial effusion,Effusion pericardial,Pericardial effusion,Pericardial disorders NEC,Pericardial disorders,Cardiac disorders,Cardiac disorders
Periodontitis,Periodontosis,Periodontitis,Dental and oral soft tissue infections,Infections - pathogen unspecified,Infections and infestations,Infections and infestations
Peripheral arterial occlusive,Peripheral arterial disease,Peripheral arterial occlusive disease,"Peripheral vasoconstriction, necrosis and vascular insufficiency","Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Peripheral edema,Peripheral oedema,Oedema peripheral,Total fluid volume increased,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Peripheral sensory neuropathy,Sensory peripheral neuropathy,Peripheral sensory neuropathy,Peripheral neuropathies NEC,Peripheral neuropathies,Nervous system disorders,Nervous system disorders
Peritoneal metastases,Peritoneal metastases,Metastases to peritoneum,Malignant miscellaneous gastrointestinal neoplasms,Malignant and unspecified neoplasms gastrointestinal NEC,Gastrointestinal disorders,Gastrointestinal disorders
Piles,Piles,Haemorrhoids,Gastrointestinal varicosities and haemorrhoids,Venous varices,Vascular disorders,Vascular disorders
Pilonidal cyst excision,Pilonidal cyst excision,Pilonidal sinus repair,Skin and subcutaneous tissue therapeutic procedures NEC,Skin and subcutaneous tissue therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Plantar fasciitis,Fasciitis plantar,Plantar fasciitis,Musculoskeletal and connective tissue infections and inflammations NEC,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Pleural effusion,Effusion pleural,Pleural effusion,Pneumothorax and pleural effusions NEC,Pleural disorders,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Pleurisy,Pleurisy (excl TB),Pleurisy,Pleural infections and inflammations,Pleural disorders,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Pleuritis,Pleuritis,Pleurisy,Pleural infections and inflammations,Pleural disorders,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Pneumobilia,Pneumobilia,Pneumobilia,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Pneumonia,Pneumonia NOS,Pneumonia,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infections and infestations,Infections and infestations
Podagra,Podagra,Gout,Crystal arthropathic disorders,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Polyarthralgia,Polyarthralgia,Arthralgia,Joint related signs and symptoms,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
"Polycystic kidney, autosomal dominant","Polycystic kidney, autosomal dominant",Congenital cystic kidney disease,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders","Congenital, familial and genetic disorders"
Poor dental condition,Poor dental condition,Poor dental condition,Dental disorders NEC,Dental and gingival conditions,Gastrointestinal disorders,Gastrointestinal disorders
Portal hypertension,Hypertension portal,Portal hypertension,Portal hypertensions,Vascular hypertensive disorders,Vascular disorders,Vascular disorders
Post procedural hypothyroidism,Hypothyroidism postoperative,Post procedural hypothyroidism,Thyroid hypofunction disorders,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Post procedural pain,Post procedural pain,Procedural pain,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Prolapse repair,Prolapse repair NOS,Prolapse repair,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Prolapsed disc repair,Prolapsed disc repair,Intervertebral disc operation,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Prolapsed lumbar disc,Prolapsed lumbar disc,Intervertebral disc protrusion,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Prostate adenoma,Prostate adenoma,Prostatic adenoma,Prostatic neoplasms benign,Reproductive neoplasms male benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Prostate cancer,Prostate cancer NOS,Prostate cancer,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Prostate carcinoma,Prostate carcinoma,Prostate cancer,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Prostate transurethral resection,Prostate transurethral resection,Transurethral prostatectomy,Prostatic therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Prostatic adenoma,Prostatic adenoma,Prostate adenoma,Prostatic neoplasms benign,Reproductive neoplasms male benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Prostatic hyperplasia,Prostatic hyperplasia,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Prostatic hypertrophy,Prostatic hypertrophy,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
