CMTRT,CMDECOD,Anatomical Class,Anatomical Class Code,Therapeutic Class,Therapeutic Class Code,Pharmacological Class,Pharmacological Class Code,Chemical Class,ATC Code
GLUCOSAMINE,Glucosamine,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,"Other Antiinfl./Antirheumatic Agents, Non-Steroids",M01AX
GLUCOSE,Glucose,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Other Drugs Used In Diabetes,A10X,,A10X
GLUCOSE INJECTION,Glucose Injection,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
GLUTAMIC ACID,Glutamic Acid,Alimentary Tract And Metabolism,A,"Digestives, Incl. Enzymes",A09,"Digestives, Incl. Enzymes",A09A,Acid Preparations,A09AB
GLUTATHIONE,Glutathione,Various,V,All Other Therapeutic Products,V03,All Other Therapeutic Products,V03A,Antidotes,V03AB
GLUTATHIONE SODIUM,Glutathione Sodium,Various,V,All Other Therapeutic Products,V03,All Other Therapeutic Products,V03A,Antidotes,V03AB
GLYCEROL,Glycerol,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Enemas,A06AG
GLYCERYL TRINITRATE,Glyceryl Trinitrate,Cardiovascular System,C,Cardiac Therapy,C01,Vasodilators Used In Cardiac Diseases,C01D,Organic Nitrates,C01DA
GLYCINE MAX SEED OIL,Glycine Max Seed Oil,Various,V,Unspecified Herbal,V90,,,,V90
GRANISETRON,Granisetron,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
GRANISETRON HYDROCHLORIDE,Granisetron Hydrochloride,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
GUAIFENESIN,Guaifenesin,Respiratory System,R,Cough And Cold Preparations,R05,"Expectorants,Excl Combinations With Cough Suppr.",R05C,Expectorants,R05CA
HALOPERIDOL,Haloperidol,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Butyrophenone Derivatives,N05AD
HELICIDINE,Helicidine,Respiratory System,R,Cough And Cold Preparations,R05,"Expectorants,Excl Combinations With Cough Suppr.",R05C,,R05C
HEPA MERZ,Hepa Merz,Alimentary Tract And Metabolism,A,Bile And Liver Therapy,A05,"Liver Therapy, Lipotropics",A05B,Liver Therapy,A05BA
HEPARIN,Heparin,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
HEPARIN GROUP,Heparin Group,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
HEPARIN SODIUM,Heparin Sodium,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
"HEPARIN-FRACTION, SODIUM SALT","Heparin-Fraction, Sodium Salt",Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
HERBAL PREPARATION,Herbal Preparation,Various,V,Unspecified Herbal,V90,,,,V90
HETASTARCH,Hetastarch,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,Blood Substitutes And Plasma Protein Fractions,B05AA
HUMAN MIXTARD,Human Mixtard,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulin/Anal.For Inj,Intem.-Act.,Comb.W/Fast Act.",A10AD
HYDRALAZINE,Hydralazine,Cardiovascular System,C,Antihypertensives,C02,"Arteriolar Smooth Muscle, Agents Acting On",C02D,Hydrazinophthalazine Derivatives,C02DB
HYDRAZINE SULFATE,Hydrazine Sulfate,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Other Antineoplastic Agents,L01X,Other Antineoplastic Agents,L01XX
HYDROCHLOROTHIAZIDE,Hydrochlorothiazide,Cardiovascular System,C,Diuretics,C03,"Low-Ceiling Diuretics, Thiazides",C03A,"Thiazides, Plain",C03AA
HYDROCHLOROTHIAZIDE W/LOSARTAN,Hydrochlorothiazide W/Losartan,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Combinations",C09D,Angiotensin Ii Antagonists And Diuretics,C09DA
HYDROCODONE,Hydrocodone,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Opium Alkaloids And Derivatives,R05DA
HYDROCODONE BITARTRATE,Hydrocodone Bitartrate,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Opium Alkaloids And Derivatives,R05DA
HYDROCORTISONE HYDROGEN SUCCINATE,Hydrocortisone Hydrogen Succinate,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
HYDROCORTISONE VALERATE,Hydrocortisone Valerate,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
HYDROMORPHONE,Hydromorphone,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
HYDROMORPHONE HYDROCHLORIDE,Hydromorphone Hydrochloride,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
HYDROXYZINE HYDROCHLORIDE,Hydroxyzine Hydrochloride,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Diphenylmethane Derivatives,N05BB
HYOSCINE BUTYLBROMIDE,Hyoscine Butylbromide,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,"Belladonna And Derivatives, Plain",A03B,"Belladonna Alkaloids Semisynt,Quater Ammonium Comp",A03BB
HYOSCYAMINE,Hyoscyamine,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,"Belladonna And Derivatives, Plain",A03B,"Belladonna Alkaloids, Tertiary Amines",A03BA
HYOSCYAMINE SULFATE,Hyoscyamine Sulfate,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,"Belladonna And Derivatives, Plain",A03B,"Belladonna Alkaloids, Tertiary Amines",A03BA
I.V. SOLUTIONS,I.V. Solutions,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,,B05B
IBANDRONATE SODIUM,Ibandronate Sodium,Musculo-Skeletal System,M,Drugs For Treatment Of Bone Diseases,M05,Drugs Affecting Bone Structure And Mineralization,M05B,Bisphosphonates,M05BA
IBUPROFEN,Ibuprofen,Cardiovascular System,C,Cardiac Therapy,C01,Other Cardiac Preparations,C01E,Other Cardiac Preparations,C01EB
IMIPENEM,Imipenem,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Carbapenems,J01DH
IMIPRAMINE HYDROCHLORIDE,Imipramine Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Non-Selective Monoamine Reuptake Inhibitors,N06AA
INDAPAMIDE,Indapamide,Cardiovascular System,C,Diuretics,C03,"Low-Ceiling Diuretics, Excl. Thiazides",C03B,"Sulfonamides, Plain",C03BA
INDOMETACIN,Indometacin,Cardiovascular System,C,Cardiac Therapy,C01,Other Cardiac Preparations,C01E,Other Cardiac Preparations,C01EB
INEGY,Inegy,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Combinations",C10B,Hmg Coa Reduct.Inhib.In Comb.With Oth.Lipid Modif.,C10BA
INFLUENZA VACCINE,Influenza Vaccine,Antiinfectives For Systemic Use,J,Vaccines,J07,Viral Vaccines,J07B,Influenza Vaccines,J07BB
INFLUENZA VIRUS VACCINE POLYVALENT,Influenza Virus Vaccine Polyvalent,Antiinfectives For Systemic Use,J,Vaccines,J07,Viral Vaccines,J07B,Influenza Vaccines,J07BB
INOSINE,Inosine,Cardiovascular System,C,Cardiac Therapy,C01,Other Cardiac Preparations,C01E,Other Cardiac Preparations,C01EB
INSULIN,Insulin,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,,A10A
INSULIN ASPART,Insulin Aspart,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Analogues For Injection, Fast-Acting",A10AB
INSULIN DETEMIR,Insulin Detemir,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,,A10A
INSULIN GLARGINE,Insulin Glargine,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Analogues For Injection, Long-Acting",A10AE
INSULIN HUMAN,Insulin Human,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Analogues For Injection, Fast-Acting",A10AB
"INSULIN HUMAN INJECTION, ISOPHANE","Insulin Human Injection, Isophane",Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Analogues For Injection, Fast-Acting",A10AB
"INSULIN INJECTION, ISOPHANE","Insulin Injection, Isophane",Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Anal. For Inj., Interm.-Acting",A10AC
INSULIN ISOPHANE HUMAN SEMISYNTHETIC,Insulin Isophane Human Semisynthetic,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Anal. For Inj., Interm.-Acting",A10AC
INSULIN LISPRO,Insulin Lispro,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulins And Analogues For Injection, Fast-Acting",A10AB
INSULIN NOVOMIX,Insulin Novomix,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulin/Anal.For Inj,Intem.-Act.,Comb.W/Fast Act.",A10AD
IPRATROPIUM,Ipratropium,Cardiovascular System,C,Cardiac Therapy,C01,"Antiarrhythmics, Class I And Iii",C01B,,C01B
IPRATROPIUM BROMIDE,Ipratropium Bromide,Cardiovascular System,C,Cardiac Therapy,C01,"Antiarrhythmics, Class I And Iii",C01B,,C01B
IRBESARTAN,Irbesartan,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
IRINOTECAN,Irinotecan,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Other Antineoplastic Agents,L01X,Other Antineoplastic Agents,L01XX
IROCOPHAN,Irocophan,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Anilides,N02BE
IRON,Iron,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Caries Prophylactic Agents,A01AA
IRON IN OTHER COMBINATIONS,Iron In Other Combinations,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,Iron In Other Combinations,B03AE
IRON PREPARATIONS,Iron Preparations,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,,B03A
ISOLYTE,Isolyte,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Affecting The Electrolyte Balance,B05BB
ISOPHANE INSULIN,Isophane Insulin,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,,A10A
ISOSORBIDE DINITRATE,Isosorbide Dinitrate,Cardiovascular System,C,Cardiac Therapy,C01,Vasodilators Used In Cardiac Diseases,C01D,Organic Nitrates,C01DA
ISOSORBIDE MONONITRATE,Isosorbide Mononitrate,Cardiovascular System,C,Cardiac Therapy,C01,Vasodilators Used In Cardiac Diseases,C01D,Organic Nitrates,C01DA
ISOTONIC SOLUTIONS,Isotonic Solutions,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Peritoneal Dialytics,B05D,Isotonic Solutions,B05DA
ITOPRIDE HYDROCHLORIDE,Itopride Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
ITRACONAZOLE,Itraconazole,Antiinfectives For Systemic Use,J,Antimycotics For Systemic Use,J02,Antimycotics For Systemic Use,J02A,Triazole Derivatives,J02AC
IVABRADINE HYDROCHLORIDE,Ivabradine Hydrochloride,Cardiovascular System,C,Cardiac Therapy,C01,Other Cardiac Preparations,C01E,Other Cardiac Preparations,C01EB
JANUMET,Janumet,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Combinations Of Oral Blood Glucose Lowering Drugs,A10BD
JONOSTERIL,Jonosteril,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Affecting The Electrolyte Balance,B05BB
KABIVEN,Kabiven,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
KETAMINE HYDROCHLORIDE,Ketamine Hydrochloride,Nervous System,N,Anesthetics,N01,"Anesthetics, General",N01A,Other General Anesthetics,N01AX
KETOCONAZOLE,Ketoconazole,Dermatologicals,D,Antifungals For Dermatological Use,D01,Antifungals For Topical Use,D01A,Imidazole And Triazole Derivatives,D01AC
KETOPROFEN,Ketoprofen,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Other Agents For Local Oral Treatment,A01AD
KETOROLAC,Ketorolac,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Acetic Acid Derivatives And Related Substances,M01AB
KETOROLAC TROMETHAMINE,Ketorolac Tromethamine,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Acetic Acid Derivatives And Related Substances,M01AB
LABETALOL,Labetalol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,Alpha And Beta Blocking Agents,C07AG
LACTOBACILLUS RHAMNOSUS,Lactobacillus Rhamnosus,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antidiarrheal Microorganisms,A07F,Antidiarrheal Microorganisms,A07FA
LACTOSE,Lactose,Various,V,All Other Therapeutic Products,V03,All Other Therapeutic Products,V03A,Other Therapeutic Products,V03AX
LACTULOSE,Lactulose,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
LANREOTIDE,Lanreotide,"Systemic Hormonal Prep.,Excl.Sex Horm.And Insulin",H,Pituitary And Hypothalamic Hormones And Analogues,H01,Hypothalamic Hormones,H01C,Antigrowth Hormone,H01CB
LANSOPRAZOLE,Lansoprazole,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
LAROTAXEL,Larotaxel,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Plant Alkaloids And Other Natural Products,L01C,Taxanes,L01CD
LAXATIVES,Laxatives,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,,A06A
LAXBENE,Laxbene,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
LEKOVIT CA,Lekovit Ca,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Calcium,A12A,"Calcium, Combinations With Other Drugs",A12AX
LENOGRASTIM,Lenograstim,Antineoplastic And Immunomodulating Agents,L,Immunostimulants,L03,Immunostimulants,L03A,Colony Stimulating Factors,L03AA
LERCANIDIPINE,Lercanidipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
LERCANIDIPINE HYDROCHLORIDE,Lercanidipine Hydrochloride,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
LEVOCETIRIZINE DIHYDROCHLORIDE,Levocetirizine Dihydrochloride,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Piperazine Derivatives,R06AE
LEVOFLOXACIN,Levofloxacin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
LEVOMEPROMAZINE HYDROCHLORIDE,Levomepromazine Hydrochloride,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Phenothiazines With Aliphatic Side-Chain,N05AA
LEVOSALBUTAMOL,Levosalbutamol,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Selective Beta-2-Adrenoreceptor Agonists,R03AC
LEVOSULPIRIDE,Levosulpiride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
LEVOTHYROXINE,Levothyroxine,"Systemic Hormonal Prep.,Excl.Sex Horm.And Insulin",H,Thyroid Therapy,H03,Thyroid Preparations,H03A,Thyroid Hormones,H03AA
LEVOTHYROXINE SODIUM,Levothyroxine Sodium,"Systemic Hormonal Prep.,Excl.Sex Horm.And Insulin",H,Thyroid Therapy,H03,Thyroid Preparations,H03A,Thyroid Hormones,H03AA
LIDOCAINE,Lidocaine,Cardiovascular System,C,Cardiac Therapy,C01,"Antiarrhythmics, Class I And Iii",C01B,"Antiarrhythmics, Class Ib",C01BB
LIDOCAINE HYDROCHLORIDE,Lidocaine Hydrochloride,Cardiovascular System,C,Cardiac Therapy,C01,"Antiarrhythmics, Class I And Iii",C01B,"Antiarrhythmics, Class Ib",C01BB
LINEZOLID,Linezolid,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Antibacterials,J01X,Other Antibacterials,J01XX
LIPITAC,Lipitac,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Other Lipid Modifying Agents,C10AX
LISINOPRIL,Lisinopril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
LOPERAMIDE,Loperamide,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antipropulsives,A07D,Antipropulsives,A07DA
LOPERAMIDE HYDROCHLORIDE,Loperamide Hydrochloride,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antipropulsives,A07D,Antipropulsives,A07DA
LORATADINE,Loratadine,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Other Antihistamines For Systemic Use,R06AX
LORAZEPAM,Lorazepam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
LORMETAZEPAM,Lormetazepam,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
LORNOXICAM,Lornoxicam,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Oxicams,M01AC
LOSARTAN,Losartan,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
LOSARTAN POTASSIUM,Losartan Potassium,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
LOVASTATIN,Lovastatin,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
LYSINE HYDROCHLORIDE,Lysine Hydrochloride,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solution Additives,B05X,Amino Acids,B05XB
MACROGOL,Macrogol,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
MAG-LAX,Mag-Lax,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,"Softeners, Emollients",A06AA
MAGALDRATE,Magaldrate,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,"Comb And Compl. Of Alumin., Calc. And Magnes. Comp",A02AD
MAGNESIUM,Magnesium,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,Magnesium Compounds,A02AA
MAGNESIUM CHLORIDE ANHYDROUS,Magnesium Chloride Anhydrous,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Other Mineral Supplements,A12C,Magnesium,A12CC
MAGNESIUM CITRATE,Magnesium Citrate,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
MAGNESIUM HYDROXIDE,Magnesium Hydroxide,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,Magnesium Compounds,A02AA
MAGNESIUM OXIDE,Magnesium Oxide,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,Magnesium Compounds,A02AA
MAGNESIUM SULFATE,Magnesium Sulfate,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
MANNITOL,Mannitol,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
MAXITROL,Maxitrol,Sensory Organs,S,Ophthalmologicals,S01,Antiinflammatory Agents And Antiinfectives In Comb,S01C,Corticosteroids And Antiinfectives In Combination,S01CA
MEBEVERINE,Mebeverine,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,"Synt Anticholin,Esters With Tertiary Amino Group",A03AA
MEBEVERINE HYDROCHLORIDE,Mebeverine Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,"Synt Anticholin,Esters With Tertiary Amino Group",A03AA
MEDAZEPAM,Medazepam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
MEGESTROL,Megestrol,Alimentary Tract And Metabolism,A,Appetite Stimulants,A15,,,,A15
MEGESTROL ACETATE,Megestrol Acetate,Alimentary Tract And Metabolism,A,Appetite Stimulants,A15,,,,A15
MELOXICAM,Meloxicam,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Oxicams,M01AC
MENADIONE,Menadione,Blood And Blood Forming Organs,B,Antihemorrhagics,B02,Vitamin K And Other Hemostatics,B02B,Vitamin K,B02BA
MENTALGINA,Mentalgina,Respiratory System,R,Throat Preparations,R02,Throat Preparations,R02A,Antiseptics,R02AA
MEROPENEM,Meropenem,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Carbapenems,J01DH
METAMIZOLE,Metamizole,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Pyrazolones,N02BB
METAMIZOLE MAGNESIUM,Metamizole Magnesium,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Pyrazolones,N02BB
METAMIZOLE SODIUM,Metamizole Sodium,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Pyrazolones,N02BB
METEOSPASMYL,Meteospasmyl,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Other Drugs For Functional Bowel Disorders,A03AX
METFORMIN,Metformin,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Biguanides,A10BA
METFORMIN HYDROCHLORIDE,Metformin Hydrochloride,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Biguanides,A10BA
METHADONE,Methadone,Nervous System,N,Other Nervous System Drugs,N07,Drugs Used In Addictive Disorders,N07B,Drugs Used In Opioid Dependence,N07BC
METHYLCELLULOSE,Methylcellulose,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Bulk Producers,A06AC
METHYLPHENIDATE HYDROCHLORIDE,Methylphenidate Hydrochloride,Nervous System,N,Psychoanaleptics,N06,"Psychostim., Agents Used For Adhd And Nootropics",N06B,Centrally Acting Sympathomimetics,N06BA
METHYLPREDNISOLONE,Methylprednisolone,Dermatologicals,D,"Corticosteroids, Dermatological Preparations",D07,"Corticosteroids, Plain",D07A,"Corticosteroids, Weak (Group I)",D07AA
METHYLPREDNISOLONE SODIUM SUCCINATE,Methylprednisolone Sodium Succinate,Dermatologicals,D,"Corticosteroids, Dermatological Preparations",D07,"Corticosteroids, Plain",D07A,"Corticosteroids, Weak (Group I)",D07AA
METHYLSULFONYLMETHANE,Methylsulfonylmethane,Musculo-Skeletal System,M,Topical Products For Joint And Muscular Pain,M02,Topical Products For Joint And Muscular Pain,M02A,"Antiinfl. Prep., Non-Steroids For Topical Use",M02AA
METOCLOPRAMIDE,Metoclopramide,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
METOCLOPRAMIDE HYDROCHLORIDE,Metoclopramide Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
METOPIMAZINE,Metopimazine,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
METOPROLOL,Metoprolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
METOPROLOL SUCCINATE,Metoprolol Succinate,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
METOPROLOL TARTRATE,Metoprolol Tartrate,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
METRONIDAZOLE,Metronidazole,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Antiinfect. And Antisept. For Local Oral Treatment,A01AB
MEXIDOL,Mexidol,Cardiovascular System,C,Peripheral Vasodilators,C04,Peripheral Vasodilators,C04A,Purine Derivatives,C04AD
MIANSERIN HYDROCHLORIDE,Mianserin Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
MICROLAX,Microlax,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Enemas,A06AG
MIDAZOLAM,Midazolam,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
