Lowest Level Term,Lowest Level Term Code,Preferred Term,Preferred Term Code,High Level Term,High Level Term Code,High Level Group Term,High Level Group Term Code,Body System Or Organ Class,Boody System Or Organ Class Code,AESOC,AESOCCD,sourcedataset,sourcevariable,sourcevalue,sourcetype
Hypomagnesemia,10021028,Hypomagnesaemia,10021027,Magnesium metabolism disorders,10025439,"Bone, calcium, magnesium and phosphorus metabolism disorders",10013296,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Hypomagnesemia,character
Hyponatremia,10021038,Hyponatraemia,10021036,Sodium imbalance,10041273,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Hyponatremia,character
Oedema NOS,10030114,Oedema,10030095,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Oedema,character
Edema,10014210,Oedema,10030095,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Edema,character
Oedema of extremities,10030115,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Peripheral edema,character
Ankle edema,10002542,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Ankle edema,character
Edema extremities,10014220,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Edema extremities,character
Edema legs,10014230,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Edema legs,character
Edema lower limb,10014232,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Edema lower limb,character
Edema of lower extremities,10054498,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Edema of lower extremities,character
Edematous feet,10014263,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Edematous feet,character
Foot edema,10016968,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Foot edema,character
Leg edema,10024127,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Leg edema,character
Oedema legs,10030105,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Oedema legs,character
Oedema lower limb,10030109,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Oedema lower limb,character
Oedema of legs,10030117,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Oedema of legs,character
Oedema of lower extremities,10030118,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Oedema of lower extremities,character
Pedal edema,10034206,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Pedal edema,character
Failure respiratory,10016162,Respiratory failure,10038695,Respiratory acidoses,10038660,Acid-base disorders,10000485,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Respiratory failure,character
"Pain in joint, site unspecified",10033444,Arthralgia,10003239,Joint related signs and symptoms,10023226,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Arthralgia,character
Joint pain,10023222,Arthralgia,10003239,Joint related signs and symptoms,10023226,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Joint pain,character
Knee pain,10023477,Arthralgia,10003239,Joint related signs and symptoms,10023226,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Knee pain,character
Pain in hip,10033432,Arthralgia,10003239,Joint related signs and symptoms,10023226,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Pain in hip,character
Wrist pain,10048692,Arthralgia,10003239,Joint related signs and symptoms,10023226,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Wrist pain,character
Dorsal pain,10013601,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Lumbar pain,character
Pain back,10033380,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Back pain,character
Back pain (with radiation),10003989,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Back pain (with radiation),character
Back pain aggravated,10048412,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Back pain aggravated,character
Loin pain,10024798,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Loin pain,character
Low back pain,10024891,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Low back pain,character
Pain bone,10033384,Bone pain,10006002,Bone related signs and symptoms,10006006,Bone disorders (excl congenital and fractures),10005959,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Bone pain,character
Bursal synovitis,10006809,Bursitis,10006811,Bursal disorders,10013297,Synovial and bursal disorders,10013361,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Bursitis,character
Shivers,10040559,Chills,10008531,Muscle related signs and symptoms NEC,10028326,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Chills,character
Rigors,10039177,Chills,10008531,Muscle related signs and symptoms NEC,10028326,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Rigors,character
Gout acute,10018628,Gout,10018627,Crystal arthropathic disorders,10011505,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Gout acute,character
Pain groin,10033403,Groin pain,10018735,Soft tissue disorders NEC,10041288,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Groin pain,character
Lumbar disc degeneration,10024991,Intervertebral disc degeneration,10061246,Intervertebral disc disorders NEC,10022635,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),10028377,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Lumbar disc degeneration,character
Intervertebral disc degeneration NOS,10022627,Intervertebral disc degeneration,10061246,Intervertebral disc disorders NEC,10022635,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),10028377,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Intervertebral disc degeneration,character
Ankle swelling,10002553,Joint swelling,10023232,Joint related signs and symptoms,10023226,Joint disorders,10023213,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Ankle swelling,character
Spasms,10041408,Muscle spasms,10028334,Muscle related signs and symptoms NEC,10028326,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Spasms,character
Cramps,10011293,Muscle spasms,10028334,Muscle related signs and symptoms NEC,10028326,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Cramps,character
Back discomfort,10003982,Musculoskeletal discomfort,10053156,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Back discomfort,character
Neck discomfort,10028831,Musculoskeletal discomfort,10053156,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Neck discomfort,character
Shoulder pain,10040617,Musculoskeletal pain,10028391,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Shoulder pain,character
Arthromyalgia,10064857,Musculoskeletal pain,10028391,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Arthromyalgia,character
Muscle pain,10028322,Myalgia,10028411,Muscle pains,10028323,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Myalgia,character
Localized muscle pain,10063545,Myalgia,10028411,Muscle pains,10028323,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Localized muscle pain,character
Muscle ache,10028287,Myalgia,10028411,Muscle pains,10028323,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Muscle ache,character
Pain neck,10033467,Neck pain,10028836,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Neck pain,character
Pain of lower extremities,10033473,Pain in extremity,10033425,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Pain of lower extremities,character
Calf pain,10007031,Pain in extremity,10033425,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Calf pain,character
Leg pain,10024130,Pain in extremity,10033425,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Leg pain,character
Pain in arm,10033421,Pain in extremity,10033425,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Pain in arm,character
Painful feet,10033506,Pain in extremity,10033425,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Painful feet,character
Wasting,10047832,Cachexia,10006895,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Cachexia,character
Metastatic pain,10027484,Cancer pain,10058019,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Cancer pain,character
Malignant peritoneal effusion,10026668,Malignant ascites,10025538,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Malignant ascites,character
Paraneoplastic syndrome,10059420,Paraneoplastic syndrome,10059420,Paraneoplastic syndromes NEC,10067229,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Paraneoplastic syndrome,character
Tumor associated fever,10067569,Tumour associated fever,10052243,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Tumor associated fever,character
Tumor hemorrhage,10055351,Tumour haemorrhage,10049750,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Tumor hemorrhage,character
Tumor pain,10045158,Tumour pain,10045171,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Tumor pain,character
Uterine myoma,10046801,Uterine leiomyoma,10046798,Uterine neoplasms benign,10046806,Reproductive neoplasms female benign,10038595,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Uterine myoma,character
Pain in spine,10052060,Spinal pain,10072005,Spinal cord and nerve root disorders NEC,10041544,Spinal cord and nerve root disorders,10041543,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Pain in spine,character
CVA,10011693,Cerebrovascular accident,10008190,Central nervous system haemorrhages and cerebrovascular accidents,10007948,Central nervous system vascular disorders,10007963,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,CVA,character
Seizures,10039910,Seizure,10039906,Seizures and seizure disorders NEC,10039912,Seizures (incl subtypes),10039911,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Seizure,character
Consciousness decreased,10010768,Depressed level of consciousness,10012373,Disturbances in consciousness NEC,10013509,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Depressed level of consciousness,character
Dizzy,10013580,Dizziness,10013573,Neurological signs and symptoms NEC,10029306,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Dizziness,character
Lightheadedness,10024492,Dizziness,10013573,Neurological signs and symptoms NEC,10029306,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Lightheadedness,character
Taste bitter,10043127,Dysgeusia,10013911,Sensory abnormalities NEC,10040021,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Taste bitter,character
Parageusia,10033793,Dysgeusia,10013911,Sensory abnormalities NEC,10040021,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Dysgeusia,character
Taste alteration,10043125,Dysgeusia,10013911,Sensory abnormalities NEC,10040021,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Taste alteration,character
Taste changed,10043129,Dysgeusia,10013911,Sensory abnormalities NEC,10040021,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Taste changed,character
Hypophoria,10057917,Heterophoria,10020015,Neurological signs and symptoms NEC,10029306,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Hypophonia,character
Gait instability,10017582,Gait disturbance,10017577,Neurological signs and symptoms NEC,10029306,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Gait instability,character
Headache NOS,10019218,Headache,10019211,Headaches NEC,10019233,Headaches,10019231,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Headache,character
Cephalgia,10008013,Headache,10019211,Headaches NEC,10019233,Headaches,10019231,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Cephalgia,character
Frontal headache,10048967,Headache,10019211,Headaches NEC,10019233,Headaches,10019231,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Frontal headache,character
Intermittent headache,10059296,Headache,10019211,Headaches NEC,10019233,Headaches,10019231,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Intermittent headache,character
Encephalopathy hepatic,10014630,Hepatic encephalopathy,10019660,Encephalopathies toxic and metabolic,10014624,Encephalopathies,10014623,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Hepatic encephalopathy,character
Intracranial pressure increased NOS,10022774,Intracranial pressure increased,10022773,Increased intracranial pressure disorders,10062912,Increased intracranial pressure and hydrocephalus,10021666,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Intracranial pressure increased,character
Ischaemic stroke NOS,10023027,Ischaemic stroke,10061256,Central nervous system haemorrhages and cerebrovascular accidents,10007948,Central nervous system vascular disorders,10007963,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Ischaemic stroke,character
Ischemic stroke,10055221,Ischaemic stroke,10061256,Central nervous system haemorrhages and cerebrovascular accidents,10007948,Central nervous system vascular disorders,10007963,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Ischemic stroke,character
Consciousness loss of,10010772,Loss of consciousness,10024855,Disturbances in consciousness NEC,10013509,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Loss of consciousness,character
Migraine headache,10027602,Migraine,10027599,Migraine headaches,10027603,Headaches,10019231,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Migraine headache,character
Leg paresis,10065013,Monoparesis,10027925,Paralysis and paresis (excl cranial nerve),10033800,Movement disorders (incl parkinsonism),10028037,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Leg paresis,character
Leg paralysis,10024131,Monoplegia,10027926,Paralysis and paresis (excl cranial nerve),10033800,Movement disorders (incl parkinsonism),10028037,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Leg paralysis,character
Generalized muscle weakness,10062572,Muscular weakness,10028372,Neuromuscular disorders NEC,10029318,Neuromuscular disorders,10029317,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Generalized muscle weakness,character
Muscle weakness,10028350,Muscular weakness,10028372,Neuromuscular disorders NEC,10029318,Neuromuscular disorders,10029317,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Muscle weakness,character
Muscle weakness NOS,10028351,Muscular weakness,10028372,Neuromuscular disorders NEC,10029318,Neuromuscular disorders,10029317,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Muscular weakness,character
Neuromuscular weakness,10062976,Muscular weakness,10028372,Neuromuscular disorders NEC,10029318,Neuromuscular disorders,10029317,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Neuromuscular weakness,character
Neuralgia NOS,10029226,Neuralgia,10029223,Sensory abnormalities NEC,10040021,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Neuralgia,character
Paraplegic,10033893,Paraplegia,10033892,Paralysis and paresis (excl cranial nerve),10033800,Movement disorders (incl parkinsonism),10028037,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Paraplegia,character
Sensory peripheral neuropathy,10040039,Peripheral sensory neuropathy,10034620,Peripheral neuropathies NEC,10034607,Peripheral neuropathies,10034606,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Peripheral sensory neuropathy,character
Footdrop,10016981,Peroneal nerve palsy,10034701,Mononeuropathies,10027917,Peripheral neuropathies,10034606,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Footdrop,character
Foot drop,10016967,Peroneal nerve palsy,10034701,Mononeuropathies,10027917,Peripheral neuropathies,10034606,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Foot drop,character
Restless,10038740,Restlessness,10038743,Neurological signs and symptoms NEC,10029306,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Restlessness,character
Reversible posterior leukoencephalopathy syndrome,10063761,Posterior reversible encephalopathy syndrome,10071066,Encephalopathies NEC,10014632,Encephalopathies,10014623,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Reversible posterior leukoencephalopathy syndrome,character
Spinal cord compression NOS,10052006,Spinal cord compression,10041549,Spinal cord and nerve root disorders NEC,10041544,Spinal cord and nerve root disorders,10041543,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Spinal cord compression,character
Vertigo subjective,10047349,Vertigo,10047340,Vertigos NEC,10052769,Neurological disorders NEC,10029305,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Vertigo,character
Blurred vision,10005886,Vision blurred,10047513,Neurologic visual problems NEC,10029292,Neurological disorders of the eye,10029301,Nervous system disorders,10029205,Nervous system disorders,10029205,ae,AELLT,Blurred vision,character
Blurry vision,10005889,Vision blurred,10047513,Neurologic visual problems NEC,10029292,Ocular signs and symptoms NEC,10030952,Neurological disorders of the eye,10029301,Neurological disorders of the eye,10029301,ae,AELLT,Blurry vision,character
Biliary stent occlusion,10049945,Device occlusion,10064685,Device malfunction events NEC,10069795,Device issues,10069782,Product issues,10077536,Product issues,10077536,ae,AELLT,Biliary stent occlusion,character
Emotional instability,10014554,Affect lability,10054196,Affect alterations NEC,10001438,Mood disorders and disturbances NEC,10027946,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Emotional instability,character
"Anxiety state, unspecified",10002867,Anxiety,10002855,Anxiety symptoms,10002869,Anxiety disorders and symptoms,10002861,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Anxiety,character
Aphasia nominal,10002950,Aphasia,10002948,Specific cognitive ability disturbances,10041427,Cognitive and attention disorders and disturbances,10009841,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Aphasia,character
Confusion,10010300,Confusional state,10010305,Confusion and disorientation,10010301,Deliria (incl confusion),10012221,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Confusion,character
Mental confusion,10027350,Confusional state,10010305,Confusion and disorientation,10010301,Deliria (incl confusion),10012221,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Mental confusion,character
Delusions,10012260,Delusion,10012239,Delusional symptoms,10012259,Disturbances in thinking and perception,10013511,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Delusions,character
Mood depression,10027942,Depressed mood,10012374,Mood alterations with depressive symptoms,10027938,Depressed mood disorders and disturbances,10012375,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Depressed mood,character
Depression NOS,10012387,Depression,10012378,Depressive disorders,10012401,Depressed mood disorders and disturbances,10012375,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Depression,character
"Voice disturbance, unspecified",10047683,Dysphonia,10013952,Speech articulation and rhythm disturbances,10041462,Communication disorders and disturbances,10010118,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Dysphonia,character
Hoarseness,10020201,Dysphonia,10013952,Speech articulation and rhythm disturbances,10041462,Communication disorders and disturbances,10010118,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Hoarseness,character
Voice alteration,10047681,Dysphonia,10013952,Speech articulation and rhythm disturbances,10041462,Communication disorders and disturbances,10010118,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Voice alteration,character
Food aversion,10049238,Food aversion,10049238,Eating disorder symptoms NEC,10014065,Eating disorders and disturbances,10014067,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Food aversion,character
Insomnia NOS,10022442,Insomnia,10022437,Disturbances in initiating and maintaining sleep,10013510,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Insomnia,character
Insomnia exacerbated,10022440,Insomnia,10022437,Disturbances in initiating and maintaining sleep,10013510,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Insomnia exacerbated,character
Acute mental status changes,10066632,Mental status changes,10048294,Mental disorders NEC,10027362,Psychiatric disorders NEC,10037176,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Mental status changes,character
Altered mood,10001850,Mood altered,10027940,Emotional and mood disturbances NEC,10014556,Mood disorders and disturbances NEC,10027946,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Mood altered,character
Panic attacks,10033665,Panic attack,10033664,Panic attacks and disorders,10068300,Anxiety disorders and symptoms,10002861,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Panic attacks,character
Sleep disorder NOS,10040989,Sleep disorder,10040984,Sleep disorders NEC,10040993,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Sleep disorder,character
Sleepiness,10041014,Somnolence,10041349,Dyssomnias,10013980,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Somnolence,character
Sleepy,10041018,Somnolence,10041349,Dyssomnias,10013980,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Sleepy,character
Painful urination,10033521,Dysuria,10013990,Bladder and urethral symptoms,10004995,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Dysuria,character
